WesternProvince,CentralProvince,SouthernProvince,SabaragamuwaProvince,EasternProvince,NothernProvince,NothernWesternProvince,NorthCentralProvince,UvaProvince
Catharine's,Bahiragaldowa,Lalpe,Badahela,,Palampiddi,Vattakandal,, Batugammana
Cinnamon Gardens,Bahirawakanda,Lalwala Pahala,Badahelagoda,,Parangkich Chaalampan,Velandikulama,, Batwewa
Colombo,Balagahatenna,Lametiya,Badahelgoda,,Point Pedro (Paruththithurai),Velantikulam,, Beddegama
Colpetty,Balagolla,Landajulana,Badanamure,,Paranthan,Velasiya,, Beddekumbura
Dadagamuwa,Balana,Landejulana,Badullawala,,Periya Chaalampan,Vellamundal,, Beligalla
Dagona,Balawatgoda,Lankagama,Badullegama,,Pesalai,Vellankarai,, Bendiyawa
Dahenpahuwa,Bambarabedda,Lanumodara,Badulupitiya,,Periya Puliyangkulam,Vicharanagama,, Beraliyapola
Dalugama,Bambarabedde Devainnegama,Lanumodera,Baduwalakanda,,Periya Pollachi,Vidatamunai,, Beramada
Dalugangoda,Bambaradeniya,Lelkada,Bagature,,Pollachi,Vidyalaya,, Bibila
Dalupatgedara,Bambaragahawatta,Lelwala,Bakmideniya,,Perumkulam,Viharegama,, Bibilagama
Dalupotha,Bambaragaleyaya,Lelwala Ihala,Bakulwala,,Paranthen Kerni,Villuke,, Bibile
Daluwekotuwa,Bambaragama,Lelwala Pahala,Balagangoda,,Pooneryn,Virakammandaluwa,, Bibilegama
Dambadurai,Bambaragaswewa,Lenaduwa,Balaharuwa,,Puliyankulam,Viruthodai,, Bibilemulla
Dambadure,Bambawa,Lenagalpalata,Balakottunna,,Puloly,Wadakada,, Bindunawewa
Dharga Town,Bamunupola,Lenama,Balakotuwa,,Puthukkudiyiruppu,Wadakahagala,, Bindunuwewa
Dehiwala,Bananga,Lenawa,Balangoda,,Parayanalankulam,Wadakkarawewa,, Bingoda
Egaloya,Banange,Lenewa,Balatgomuwa,,Pungudutivu,Wadatta,, Biriulpota
Egoda Uyana,Barandare,Lewduwa,Balavinna,,Puttur,Wadawa,, Bodagama
Egodawatta,Barigama,Lewpotdeniya,Balawane,,Puthunagaram,Wadawa,, Bogahakivula
"Egodawatta,",Batadanduwela,Lintotapaya,Balawatgama,,Panamkamam,,, Bogahakumbura
Ekala,Batagalla,Liyanagamakanda,Balawathgama,,Punnalaikkadduvan,,, Bogahapatana
Ekalakurunduwatta,Balagolla,Liyanagoda,Balawinna,,Passaiyoor,,, Bogahapelessa
Ekel,Batagolla,Liyanegoda,Balibatgoda,,Sandilipay,,, Bogahawela
Eladuva,Batalawatta,Liyannakatuwa,Balibathgoda,,Sillalai,,, Bogandena
Eladuwa,Batugoda,Lolla,Balinduwawa,,Suthumalai,,, Bogoda
Elamalawala,Batumulla,Lunama,Ballahela,,Sugandipuram,,, Bohitiya
Elamalewala,Bebalagama,Lunuganwehera,Ballapana,,Sangarathai,,, Bokagonna
Elapiliyawa,Beddegama,Mabingoda,Ballapanatenna,,Tachchankulam,,, Bokanoruwa
Elapitawala,Beligamuwa,Mabotuwana,Bambarabotuwa,,Taddamalai,,, Bolgalla
